Frame,Drop Height,Change,Distance
666,183,-532,0
667,183,0,0
668,183,0,0
669,75,-108,0
670,75,0,0
671,75,0,0
672,183,108,0
673,715,532,0
674,715,0,0
675,183,-532,0
676,183,0,0
677,715,532,0
678,715,0,0
679,715,0,0
680,715,0,0
681,715,0,0
682,715,0,0
683,715,0,0
684,715,0,0
685,715,0,0
686,715,0,0
687,715,0,0
688,715,0,0
689,715,0,0
690,715,0,0
691,183,-532,0
692,75,-108,0
693,75,0,0
694,75,0,0
695,75,0,0
696,75,0,0
697,75,0,0
698,75,0,0
699,75,0,0
700,75,0,0
701,183,108,0
702,860,677,0
703,183,-677,0
704,183,0,0
705,759,576,0
706,759,0,0
707,860,101,0
708,860,0,0
709,183,-677,0
710,183,0,0
711,183,0,0
712,183,0,0
713,183,0,0
714,183,0,0
715,183,0,0
716,183,0,0
717,183,0,0
718,183,0,0
719,183,0,0
720,183,0,0
721,183,0,0
722,183,0,0
723,75,-108,0
724,183,108,0
725,183,0,0
726,183,0,0
727,75,-108,0
728,75,0,0
729,75,0,0
730,75,0,0
731,75,0,0
732,715,640,0
733,715,0,0
734,715,0,0
735,183,-532,0
736,183,0,0
737,183,0,0
738,183,0,0
739,183,0,0
740,183,0,0
741,183,0,0
742,183,0,0
743,183,0,0
744,183,0,0
745,183,0,0
746,183,0,0
747,183,0,0
748,183,0,0
749,183,0,0
750,183,0,0
751,183,0,0
752,75,-108,0
753,75,0,0
754,75,0,0
755,75,0,0
756,75,0,0
757,75,0,0
758,75,0,0
759,75,0,0
760,75,0,0
761,75,0,0
762,75,0,0
763,75,0,0
764,75,0,0
765,75,0,0
766,75,0,0
767,75,0,0
768,75,0,0
769,75,0,0
770,75,0,0
771,75,0,0
772,75,0,0
773,75,0,0
774,75,0,0
775,75,0,0
776,75,0,0
777,75,0,0
778,75,0,0
779,75,0,0
780,75,0,0
781,75,0,0
782,75,0,0
783,183,108,0
784,183,0,0
785,75,-108,0
786,75,0,0
787,75,0,0
788,75,0,0
789,75,0,0
790,75,0,0
791,75,0,0
792,75,0,0
793,75,0,0
794,183,108,0
795,183,0,0
796,183,0,0
797,75,-108,0
798,75,0,0
799,75,0,0
800,75,0,0
801,75,0,0
802,75,0,0
803,75,0,0
804,75,0,0
805,75,0,0
806,75,0,0
807,75,0,0
808,75,0,0
809,75,0,0
810,74,-1,0
811,74,0,0
812,74,0,0
813,74,0,0
814,74,0,0
815,74,0,0
816,86,12,0
817,86,0,0
818,183,97,0
819,183,0,0
820,183,0,0
821,183,0,0
822,183,0,0
823,183,0,0
824,711,528,0
825,183,-528,0
826,88,-95,0
827,88,0,0
828,88,0,0
829,74,-14,0
830,95,21,0
831,86,-9,0
832,86,0,0
833,74,-12,0
834,74,0,0
835,74,0,0
836,74,0,0
837,74,0,0
838,74,0,0
839,74,0,0
840,74,0,0
841,74,0,0
842,74,0,0
843,74,0,0
844,74,0,0
845,74,0,0
846,74,0,0
847,74,0,0
848,74,0,0
849,183,109,0
850,183,0,0
851,183,0,0
852,183,0,0
853,183,0,0
854,183,0,0
855,74,-109,0
856,74,0,0
857,74,0,0
858,74,0,0
859,74,0,0
860,74,0,0
861,74,0,0
862,74,0,0
863,74,0,0
864,74,0,0
865,183,109,0
866,74,-109,0
867,183,109,0
868,183,0,0
869,710,527,0
870,74,-636,0
871,74,0,0
872,93,19,0
873,93,0,0
874,93,0,0
875,83,-10,0
876,83,0,0
877,74,-9,0
878,74,0,0
879,74,0,0
880,74,0,0
881,74,0,0
882,74,0,0
883,74,0,0
884,74,0,0
885,74,0,0
886,74,0,0
887,86,12,0
888,74,-12,0
889,74,0,0
890,74,0,0
891,74,0,0
892,74,0,0
893,82,8,0
894,82,0,0
895,82,0,0
896,82,0,0
897,183,101,0
898,82,-101,0
899,82,0,0
900,82,0,0
901,83,1,0
902,83,0,0
903,83,0,0
904,83,0,0
905,83,0,0
906,83,0,0
907,83,0,0
908,83,0,0
909,83,0,0
910,83,0,0
911,83,0,0
912,83,0,0
913,83,0,0
914,81,-2,0
915,81,0,0
916,83,2,0
917,83,0,0
918,74,-9,0
919,74,0,0
920,74,0,0
921,74,0,0
922,74,0,0
923,74,0,0
924,83,9,0
925,83,0,0
926,83,0,0
927,83,0,0
928,83,0,0
929,83,0,0
930,74,-9,0
931,74,0,0
932,74,0,0
933,74,0,0
934,74,0,0
935,74,0,0
936,74,0,0
937,74,0,0
938,74,0,0
939,74,0,0
940,74,0,0
941,74,0,0
942,74,0,0
943,74,0,0
944,74,0,0
945,74,0,0
946,74,0,0
947,183,109,0
948,183,0,0
949,183,0,0
950,714,531,0
951,714,0,0
952,183,-531,0
953,714,531,0
954,714,0,0
955,714,0,0
956,714,0,0
957,714,0,0
958,714,0,0
959,714,0,0
960,714,0,0
961,183,-531,0
962,714,531,0
963,74,-640,0
964,74,0,0
965,74,0,0
966,724,650,0
967,724,0,0
968,710,-14,0
969,710,0,0
970,710,0,0
971,710,0,0
